sudan	central_africa	15	-30	967491	16900000	khartoum	pound
surinam	south_america	4	56	55000	208000	paramaribo	?
swaziland	southern_africa	-26	-31	6705	460000	mbabane	lilageru
sweden	scandinavia	63	-15	173665	8144000	stockholm	krona
switzerland	western_europe	46	-8	15941	6440000	bern	franc
syria	middle_east	35	-38	71498	6895000	damascus	syrian_pound
taiwan	far_east	23	-121	13592	15737000	taipei	taiwan_dollar
tanzania	east_africa	-7	-34	363708	14000000	dar_es_salaam	tanzanian_shilling
thailand	southeast_east	16	-102	198455	39950000	bangkok	baht
togo	west_africa	8	-1	21853	2120000	lome	cfa_franc
tonga	australasia	-20	173	269	90000	nukualofa	pa_anga
trinidad_and_tobago	caribbean	10	61	1979	5510000	port_of_spain	trinidad_and_tobago_dollar
tunisia	north_africa	33	-9	63378	5510000	tunis	dinar
turkey	middle_east	39	-36	301380	37930000	ankara	lira
uganda	east_africa	2	-32	91134	10810000	kampala	uganda_shilling
united_arab_emirates	middle_east	24	-54	32278	210000	abu_dhabi	dirham
united_kingdom	western_europe	54	2	94209	55930000	london	pound
united_states	north_america	37	96	3615122	211210000	washington	dollar
upper_volta	west_africa	12	2	105869	5740000	ouagadougou	cfa_franc
uruguay	south_america	-32	55	68548	2990000	montevideo	peso
venezuela	south_america	8	65	352143	11520000	caracas	bolivar
vietnam	southeast_east	17	-107	126436	41850000	hanoi	dong
west_germany	western_europe	52	-9	95815	61970000	bonn	deutsche_mark
western_samoa	australasia	-14	172	1133	150000	apia	tala
yemen	middle_east	15	-44	75289	1600000	sana	rial
yugoslavia	southern_europe	44	-20	98766	21126000	belgrade	dinar
zaire	central_africa	-3	-23	905063	23560000	kinshasa	zaire
zambia	southern_africa	-15	-28	290724	4640000	lusaka	kwacha
zimbabwe	southern_africa	-20	-30	150333	5690000	salisbury	rhodesian_dollar
